Restaurant Name,Cuisines,Address
Spice Garden,indian,123 Main St
Sushi Express,japanese,456 Oak Ave
Pasta Palace,italian,789 Elm St
Beijing Kitchen,chinese,321 Pine Rd
Taco Fiesta,mexican,654 Maple Dr
Thai Orchid,thai,987 Cedar Ln
Mediterranean Delight,mediterranean,147 Birch Ave
Burger Joint,american,258 Walnut St
French Bistro,french,369 Cherry Rd
Korean BBQ House,korean,741 Ash St
Curry House,indian,852 Spruce Dr
Ramen Shop,japanese,963 Willow Ln
Pizza Place,italian,159 Fir Ave
Dim Sum Palace,chinese,357 Palm Rd
Mexican Cantina,mexican,486 Beach Dr
